1;1;1;1;1;1;1;0;1;1;1
0;1;0;0;1;0;1;1;1;1;0
0;1;1;0;1;1;1;1;1;1;1
1;0;1;0;1;0;1;0;1;1;0
0;0;0;0;1;0;1;1;0;0;0
1;1;0;1;0;0;1;0;1;1;0
1;0;0;0;1;0;1;0;1;1;0
0;0;1;0;1;0;1;1;0;0;0
0.953036;0.98342514;1.036586;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0
0.08886118;0.9437318;0.02521866;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0
0.058229756;0.9012213;0.9718941;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1.0690536;0.0099551445;1.0389826;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0
0.052251685;0.056219723;0.014947421;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0
1.0453387;0.99062085;0.025988592;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0
0.98186195;0.0056940555;0.07640941;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0
0.03327185;0.043445405;0.9409425;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0
